sample_id,article_group,mask_fraction,replicate,reported_setting_count,masked_keys
l386-s54-jimenez-2019,article:l386,0.25,2,16,"[""additive#2:additive"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""molding#1:temperature""]"
l386-s54-jimenez-2019,article:l386,0.5,0,16,"[""additive#1:additive"", ""additive#2:additive"", ""heating#0:temperature"", ""mixing#0:mixing method"", ""mixing#0:temperature"", ""mixing#0:time"", ""molding#0:time"", ""molding#1:temperature""]"
l386-s54-jimenez-2019,article:l386,0.5,1,16,"[""additive#0:additive"", ""additive#1:additive"", ""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:temperature"", ""molding#1:temperature""]"
l386-s54-jimenez-2019,article:l386,0.5,2,16,"[""additive#1:additive"", ""drying evaporation#0:temperature"", ""drying evaporation#0:time"", ""mixing#0:temperature"", ""mixing#0:time"", ""molding#0:ambient condition"", ""molding#0:temperature"", ""solvent#0:solvent name""]"
l386-s54-jimenez-2019,article:l386,0.75,0,16,"[""additive#1:additive"", ""additive#2:additive"", ""drying evaporation#0:ambient condition"", ""drying evaporation#0:temperature"", ""heating#0:temperature"", ""heating#0:time"", ""mixing#0:time"", ""molding#0:ambient condition"", ""molding#0:temperature"", ""molding#0:time"", ""molding#1:temperature"", ""solvent#0:solvent name""]"
l386-s54-jimenez-2019,article:l386,0.75,1,16,"[""additive#0:additive"", ""additive#1:additive"", ""additive#2:additive"", ""drying evaporation#0:time"", ""heating#0:temperature"", ""heating#0:time"", ""mixing#0:mixing method"", ""mixing#0:temperature"", ""molding#0:ambient condition"", ""molding#0:temperature"", ""molding#1:temperature"", ""solvent#0:solvent name""]"
l386-s54-jimenez-2019,article:l386,0.75,2,16,"[""additive#0:additive"", ""additive#1:additive"", ""additive#2:additive"", ""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""heating#0:temperature"", ""heating#0:time"", ""mixing#0:time"", ""molding#0:ambient condition"", ""molding#0:temperature"", ""molding#1:temperature"", ""solvent#0:solvent name""]"
l121-s8-nelson-2005,article:l121,0.25,0,17,"[""additive#1:additive"", ""drying evaporation#0:time"", ""drying evaporation#1:time"", ""heating#0:temperature"", ""mixing#0:temperature""]"
l121-s8-nelson-2005,article:l121,0.25,1,17,"[""additive#1:additive"", ""drying evaporation#0:time"", ""mixing#0:temperature"", ""mixing#1:mixer"", ""mixing#1:mixing method""]"
l121-s8-nelson-2005,article:l121,0.25,2,17,"[""drying evaporation#0:ambient condition"", ""drying evaporation#2:temperature"", ""drying evaporation#2:time"", ""heating#0:time"", ""mixing#0:mixing method""]"
